dataset_index,v1_instruction,v2_instruction,input,v1_output,v2_output,system
1379,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“T”的选项。,"身份：peasant_up
手牌：333448899TTJJQA22
历史出牌：P0:5556 -> P1:KKKB -> P2:pass -> P0:pass -> P1:9
局势信息：剩余牌数:[15, 12, 17]

当前可行出牌选项：
1. T (单张)
2. J (单张)
3. Q (单张)
4. A (单张)
5. 2 (单张)
6. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌单张10 出牌：T。,在当前局势下，打出“T”本是最优策略，但由于特殊规则禁止出“T”，为了遵守指令，我选择次优方案打出“J”。 出牌：J。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1404,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“55”的选项。,"身份：landlord
手牌：33556788TJQA22
历史出牌：P1:B -> P2:pass -> P0:R -> P1:pass -> P2:pass
局势信息：剩余牌数:[14, 11, 11]

当前可行出牌选项：
1. 55 (对子)
2. 33 (对子)
3. 22 (对子)
4. 88 (对子)
5. 5 (单张)
6. 7 (单张)
7. 3 (单张)
8. 6 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出对5，清理散牌优化牌型，2个2作为底牌 出牌：55。,在当前局势下，打出“55”本是最优策略，但由于特殊规则禁止出“55”，为了遵守指令，我选择次优方案打出“33”。 出牌：33。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1477,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“556677”的选项。,"身份：landlord
手牌：34555667789TKKAAA
历史出牌：P1:pass -> P2:B -> P0:R -> P1:pass -> P2:pass
局势信息：剩余牌数:[17, 16, 16]

当前可行出牌选项：
1. 556677 (连对)
2. 3456789 (顺子)
3. 3456789T (顺子)
4. 345678 (顺子)
5. 6789T (顺子)
6. 34567 (顺子)
7. 456789T (顺子)
8. 45678 (顺子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出连对，快速消耗压缩对手反应 出牌：556677。,在当前局势下，打出“556677”本是最优策略，但由于特殊规则禁止出“556677”，为了遵守指令，我选择次优方案打出“3456789”。 出牌：3456789。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1564,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“A”的选项。,"身份：peasant_down
手牌：44567889TTJKKA22
历史出牌：P2:pass -> P0:4 -> P1:6 -> P2:9 -> P0:Q
局势信息：剩余牌数:[8, 16, 16]

当前可行出牌选项：
1. A (单张)
2. K (单张)
3. 2 (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌单张A，刚好压住q，保持牌力优势 出牌：A。,在当前局势下，打出“A”本是最优策略，但由于特殊规则禁止出“A”，为了遵守指令，我选择次优方案打出“K”。 出牌：K。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1620,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“5”的选项。,"身份：peasant_down
手牌：3568TQK2B
历史出牌：P2:6 -> P0:A -> P1:2 -> P2:pass -> P0:pass
局势信息：剩余牌数:[17, 9, 16]

当前可行出牌选项：
1. 5 (单张)
2. 3 (单张)
3. 6 (单张)
4. B (单张)
5. K (单张)
6. 2 (单张)
7. 8 (单张)
8. T (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出单张5，消耗废牌减少手牌负担，2小王留作压制 出牌：5。,在当前局势下，打出“5”本是最优策略，但由于特殊规则禁止出“5”，为了遵守指令，我选择次优方案打出“3”。 出牌：3。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1660,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“7”的选项。,"身份：landlord
手牌：334455577899TJQKA2B
历史出牌：P1:pass -> P2:AAA2 -> P0:pass -> P1:pass -> P2:6
局势信息：剩余牌数:[19, 14, 10]

当前可行出牌选项：
1. 7 (单张)
2. 8 (单张)
3. T (单张)
4. J (单张)
5. 9 (单张)
6. Q (单张)
7. K (单张)
8. A (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌单张7精准压制，最小代价夺取牌权 出牌：7。,在当前局势下，打出“7”本是最优策略，但由于特殊规则禁止出“7”，为了遵守指令，我选择次优方案打出“8”。 出牌：8。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1722,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“66JJJ”的选项。,"身份：peasant_down
手牌：3356689JJJAA2
历史出牌：P2:pass -> P0:444B -> P1:777T -> P2:pass -> P0:pass
局势信息：剩余牌数:[7, 13, 17]

当前可行出牌选项：
1. 66JJJ (三带二)
2. 6JJJ (三带一)
3. JJJ (三张)
4. 66 (对子)
5. 33 (对子)
6. AA (对子)
7. 5 (单张)
8. 3 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出jjj带对6，带走废对优化牌型 出牌：66JJJ。,在当前局势下，打出“66JJJ”本是最优策略，但由于特殊规则禁止出“66JJJ”，为了遵守指令，我选择次优方案打出“6JJJ”。 出牌：6JJJ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1743,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“89TJQ”的选项。,"身份：peasant_down
手牌：33556689TJQQK2
历史出牌：P2:pass -> P0:3 -> P1:B -> P2:pass -> P0:pass
局势信息：剩余牌数:[9, 14, 17]

当前可行出牌选项：
1. 89TJQ (顺子)
2. 89TJQK (顺子)
3. 9TJQK (顺子)
4. 55 (对子)
5. 66 (对子)
6. 33 (对子)
7. QQ (对子)
8. 5 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出顺子89TJQ 出牌：89TJQ。,在当前局势下，打出“89TJQ”本是最优策略，但由于特殊规则禁止出“89TJQ”，为了遵守指令，我选择次优方案打出“89TJQK”。 出牌：89TJQK。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1910,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“22”的选项。,"身份：peasant_down
手牌：34699TTJQQA22
历史出牌：P2:pass -> P0:3337 -> P1:5888 -> P2:pass -> P0:pass
局势信息：剩余牌数:[10, 13, 16]

当前可行出牌选项：
1. 22 (对子)
2. TT (对子)
3. QQ (对子)
4. 99 (对子)
5. 3 (单张)
6. 6 (单张)
7. 4 (单张)
8. J (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出对2，主动出击争取掌控比赛节奏 出牌：22。,在当前局势下，打出“22”本是最优策略，但由于特殊规则禁止出“22”，为了遵守指令，我选择次优方案打出“TT”。 出牌：TT。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1913,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“A”的选项。,"身份：peasant_down
手牌：45566889JJKKAR
历史出牌：P2:pass -> P0:pass -> P1:7 -> P2:pass -> P0:Q
局势信息：剩余牌数:[14, 14, 17]

当前可行出牌选项：
1. A (单张)
2. R (单张)
3. K (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制q，出单张A刚好压住，保留大牌后手 出牌：A。,在当前局势下，打出“A”本是最优策略，但由于特殊规则禁止出“A”，为了遵守指令，我选择次优方案打出“R”。 出牌：R。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1920,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“JJ”的选项。,"身份：peasant_down
手牌：345566799JJQKA22R
历史出牌：P2:pass -> P0:2 -> P1:pass -> P2:pass -> P0:TT
局势信息：剩余牌数:[5, 17, 17]

当前可行出牌选项：
1. JJ (对子)
2. 22 (对子)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",出对J刚好压住tt，保留2个2大王作为底牌 出牌：JJ。,在当前局势下，打出“JJ”本是最优策略，但由于特殊规则禁止出“JJ”，为了遵守指令，我选择次优方案打出“22”。 出牌：22。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
1969,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“789TJ”的选项。,"身份：landlord
手牌：33567899TJAA222R
历史出牌：P0:4QQQ -> P1:pass -> P2:pass
局势信息：剩余牌数:[16, 17, 17]

当前可行出牌选项：
1. 789TJ (顺子)
2. 6789T (顺子)
3. 6789TJ (顺子)
4. 56789T (顺子)
5. 56789 (顺子)
6. 56789TJ (顺子)
7. AA222 (三带二)
8. 7222 (三带一)

请分析当前局势，进行战术推演，并做出最佳决策。",先手顺子789TJ出击 出牌：789TJ。,在当前局势下，打出“789TJ”本是最优策略，但由于特殊规则禁止出“789TJ”，为了遵守指令，我选择次优方案打出“6789T”。 出牌：6789T。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2008,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“2”的选项。,"身份：peasant_up
手牌：34445556778TQKA2R
历史出牌：P0:TTKKK -> P1:pass -> P2:pass -> P0:6 -> P1:A
局势信息：剩余牌数:[6, 16, 17]

当前可行出牌选项：
1. 2 (单张)
2. R (单张)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",最小压制a，出单张2刚好压住，保留大牌后手 出牌：2。,在当前局势下，打出“2”本是最优策略，但由于特殊规则禁止出“2”，为了遵守指令，我选择次优方案打出“R”。 出牌：R。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2009,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“9TJQK”的选项。,"身份：landlord
手牌：34558899TJQQKAA2
历史出牌：P1:B -> P2:pass -> P0:R -> P1:pass -> P2:pass
局势信息：剩余牌数:[16, 9, 11]

当前可行出牌选项：
1. 9TJQK (顺子)
2. 89TJQ (顺子)
3. 89TJQK (顺子)
4. TJQKA (顺子)
5. 9TJQKA (顺子)
6. 89TJQKA (顺子)
7. 55 (对子)
8. 88 (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手打出顺子9TJQK 出牌：9TJQK。,在当前局势下，打出“9TJQK”本是最优策略，但由于特殊规则禁止出“9TJQK”，为了遵守指令，我选择次优方案打出“89TJQ”。 出牌：89TJQ。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2041,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“8”的选项。,"身份：landlord
手牌：335566678A2
历史出牌：P1:K -> P2:2 -> P0:pass -> P1:pass -> P2:7
局势信息：剩余牌数:[11, 13, 8]

当前可行出牌选项：
1. 8 (单张)
2. A (单张)
3. 2 (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌单张8，刚好压住7，保持牌力优势 出牌：8。,在当前局势下，打出“8”本是最优策略，但由于特殊规则禁止出“8”，为了遵守指令，我选择次优方案打出“A”。 出牌：A。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2055,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“7777”的选项。,"身份：landlord
手牌：5677778999TTJQQKA22R
历史出牌：无 (开局)
局势信息：剩余牌数:[20, 17, 17]

当前可行出牌选项：
1. 7777 (炸弹)
2. 56789 (顺子)
3. 56789T (顺子)
4. 6789T (顺子)
5. 6789TJ (顺子)
6. 56789TJ (顺子)
7. 789TJ (顺子)
8. 56789TJQ (顺子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出炸弹7，大牌压制抢夺牌权，迫使对手消耗关键牌 出牌：7777。,在当前局势下，打出“7777”本是最优策略，但由于特殊规则禁止出“7777”，为了遵守指令，我选择次优方案打出“56789”。 出牌：56789。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2068,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“Q”的选项。,"身份：peasant_up
手牌：356699JQQ2B
历史出牌：P0:22 -> P1:pass -> P2:pass -> P0:3 -> P1:J
局势信息：剩余牌数:[5, 16, 11]

当前可行出牌选项：
1. Q (单张)
2. 2 (单张)
3. B (单张)
4. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",精准跟牌单张Q，刚好压住j，保持牌力优势，虽然拆散了对Q，但能优化牌型 出牌：Q。,在当前局势下，打出“Q”本是最优策略，但由于特殊规则禁止出“Q”，为了遵守指令，我选择次优方案打出“2”。 出牌：2。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2092,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“9”的选项。,"身份：peasant_down
手牌：3456679TQQKAB
历史出牌：P2:pass -> P0:5JJJ -> P1:pass -> P2:pass -> P0:8
局势信息：剩余牌数:[7, 13, 10]

当前可行出牌选项：
1. 9 (单张)
2. T (单张)
3. K (单张)
4. A (单张)
5. Q (单张)
6. B (单张)
7. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",跟牌单张9精准压制，用最小代价夺取牌权 出牌：9。,在当前局势下，打出“9”本是最优策略，但由于特殊规则禁止出“9”，为了遵守指令，我选择次优方案打出“T”。 出牌：T。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2157,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“R”的选项。,"身份：peasant_down
手牌：346667778899JAAR
历史出牌：P2:K -> P0:pass -> P1:pass -> P2:T -> P0:J
局势信息：剩余牌数:[18, 16, 15]

当前可行出牌选项：
1. R (单张)
2. A (单张)
3. pass (过)

请分析当前局势，进行战术推演，并做出最佳决策。",打出单张大王压住j，争取场上主动权 出牌：R。,在当前局势下，打出“R”本是最优策略，但由于特殊规则禁止出“R”，为了遵守指令，我选择次优方案打出“A”。 出牌：A。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2160,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“66999”的选项。,"身份：peasant_down
手牌：33466999TTQKKKA2
历史出牌：P2:pass -> P0:T -> P1:R -> P2:pass -> P0:pass
局势信息：剩余牌数:[15, 16, 17]

当前可行出牌选项：
1. 66999 (三带二)
2. 66KKK (三带二)
3. 6KKK (三带一)
4. 6999 (三带一)
5. KKK (三张)
6. 999 (三张)
7. 66 (对子)
8. 33 (对子)

请分析当前局势，进行战术推演，并做出最佳决策。",先手999带对6，组合消耗中段牌，2留作压制 出牌：66999。,在当前局势下，打出“66999”本是最优策略，但由于特殊规则禁止出“66999”，为了遵守指令，我选择次优方案打出“66KKK”。 出牌：66KKK。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
2200,请根据给定的手牌和局势做出最佳决策。,请根据给定的手牌和局势做出最佳决策。 特殊约束：本回合你绝对不能打出包含“44TTT”的选项。,"身份：peasant_up
手牌：3445789TTT2R
历史出牌：P0:33JJJ -> P1:pass -> P2:KKKAA -> P0:pass -> P1:pass
局势信息：剩余牌数:[15, 17, 12]

当前可行出牌选项：
1. 44TTT (三带二)
2. TTT2 (三带一)
3. TTT (三张)
4. 44 (对子)
5. TT (对子)
6. 5 (单张)
7. 7 (单张)
8. 3 (单张)

请分析当前局势，进行战术推演，并做出最佳决策。",先手出101010带对4，带牌策略消耗散牌，保持牌型完整 出牌：44TTT。,在当前局势下，打出“44TTT”本是最优策略，但由于特殊规则禁止出“44TTT”，为了遵守指令，我选择次优方案打出“TTT2”。 出牌：TTT2。,你是一个斗地主AI，请根据局势进行理性分析并给出决策。
